match_id,innings,for_wicket,team,opposition,player1,player2,player1_runs,player2_runs,player1_balls,player2_balls,partnership_runs,partnership_balls
222678,1,2.0,South Africa,New Zealand,2232.0,2347.0,1.0,5.0,2.0,3.0,6.0,5.0
222678,1,3.0,South Africa,New Zealand,2347.0,6335.0,4.0,5.0,4.0,6.0,9.0,10.0
222678,1,4.0,South Africa,New Zealand,3947.0,6335.0,0.0,3.0,0.0,5.0,6.0,9.0
222678,1,5.0,South Africa,New Zealand,2228.0,3947.0,0.0,0.0,2.0,1.0,1.0,3.0
222678,1,6.0,South Africa,New Zealand,3947.0,4086.0,1.0,3.0,3.0,4.0,4.0,7.0
222678,1,7.0,South Africa,New Zealand,4086.0,9505.0,0.0,3.0,0.0,7.0,7.0,8.0
222678,1,8.0,South Africa,New Zealand,7540.0,9505.0,2.0,0.0,4.0,0.0,4.0,6.0
222678,1,9.0,South Africa,New Zealand,4073.0,9505.0,1.0,6.0,3.0,3.0,8.0,6.0
222678,1,10.0,South Africa,New Zealand,4073.0,6343.0,4.0,0.0,3.0,2.0,4.0,5.0
222678,2,1.0,New Zealand,South Africa,2121.0,2235.0,26.0,10.0,21.0,10.0,37.0,31.0
222678,2,2.0,New Zealand,South Africa,2121.0,9633.0,0.0,3.0,0.0,3.0,4.0,5.0
222678,2,3.0,New Zealand,South Africa,2121.0,5619.0,4.0,0.0,2.0,0.0,5.0,2.0
222678,2,4.0,New Zealand,South Africa,5619.0,9570.0,15.0,18.0,19.0,16.0,34.0,35.0
222678,2,5.0,New Zealand,South Africa,9570.0,9989.0,6.0,22.0,12.0,13.0,30.0,25.0
222678,2,6.0,New Zealand,South Africa,9989.0,10384.0,0.0,17.0,0.0,9.0,24.0,10.0
211028,1,1.0,England,Australia,3865.0,34719.0,6.0,19.0,8.0,14.0,27.0,22.0
211028,1,2.0,England,Australia,3865.0,4271.0,10.0,6.0,6.0,5.0,19.0,11.0
211028,1,3.0,England,Australia,3865.0,8107.0,17.0,34.0,12.0,18.0,51.0,30.0
211028,1,4.0,England,Australia,3865.0,4709.0,0.0,0.0,0.0,1.0,2.0,3.0
