match_id,innings,team,opposition,bowler_id,overs,balls,maidens,conceded,wickets,economy,dots,fours,sixes,wides,noballs
287860,2,Sri Lanka,Kenya,2166.0,4.0,24.0,1.0,15.0,2.0,3.75,15.0,0.0,1.0,0.0,0.0
287860,2,Sri Lanka,Kenya,11271.0,3.0,18.0,0.0,23.0,0.0,7.66,12.0,2.0,0.0,5.0,0.0
287860,2,Sri Lanka,Kenya,1988.0,3.0,18.0,0.0,9.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0
287860,2,Sri Lanka,Kenya,45105.0,3.0,18.0,0.0,13.0,2.0,4.33,10.0,1.0,0.0,1.0,0.0
287860,2,Sri Lanka,Kenya,8197.0,2.0,12.0,0.0,11.0,0.0,5.5,5.0,1.0,0.0,0.0,0.0
287860,2,Sri Lanka,Kenya,15522.0,3.0,18.0,0.0,12.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0
287860,2,Sri Lanka,Kenya,7419.0,1.3,9.0,0.0,4.0,2.0,2.66,5.0,0.0,0.0,0.0,0.0
287867,1,England,South Africa,10829.0,4.0,24.0,0.0,22.0,1.0,5.5,13.0,3.0,0.0,2.0,0.0
287867,1,England,South Africa,48440.0,4.0,24.0,0.0,37.0,3.0,9.25,12.0,7.0,0.0,2.0,0.0
287867,1,England,South Africa,4271.0,4.0,24.0,0.0,23.0,2.0,5.75,12.0,3.0,0.0,1.0,0.0
287867,1,England,South Africa,6769.0,3.0,18.0,0.0,24.0,1.0,8.0,5.0,1.0,1.0,0.0,0.0
287867,1,England,South Africa,7184.0,4.0,24.0,0.0,34.0,1.0,8.5,9.0,1.0,3.0,1.0,0.0
287867,1,England,South Africa,4660.0,1.0,6.0,0.0,12.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0
287867,2,South Africa,England,2228.0,4.0,24.0,1.0,17.0,2.0,4.25,14.0,1.0,0.0,0.0,0.0
287867,2,South Africa,England,4073.0,4.0,24.0,0.0,29.0,0.0,7.25,10.0,4.0,0.0,1.0,0.0
287867,2,South Africa,England,47289.0,4.0,24.0,0.0,20.0,1.0,5.0,12.0,2.0,0.0,0.0,0.0
287867,2,South Africa,England,4130.0,4.0,24.0,0.0,30.0,1.0,7.5,8.0,2.0,1.0,0.0,0.0
287867,2,South Africa,England,46935.0,2.0,12.0,0.0,22.0,0.0,11.0,3.0,0.0,2.0,0.0,0.0
287867,2,South Africa,England,9505.0,2.0,12.0,0.0,12.0,2.0,6.0,4.0,1.0,0.0,1.0,0.0
287868,1,Sri Lanka,Pakistan,2166.0,4.0,24.0,0.0,23.0,1.0,5.75,13.0,3.0,0.0,0.0,0.0
287868,1,Sri Lanka,Pakistan,11271.0,4.0,24.0,1.0,17.0,2.0,4.25,18.0,1.0,1.0,0.0,1.0
287868,1,Sri Lanka,Pakistan,45105.0,4.0,24.0,0.0,43.0,3.0,10.75,5.0,4.0,0.0,2.0,1.0
287868,1,Sri Lanka,Pakistan,1988.0,4.0,24.0,0.0,64.0,0.0,16.0,0.0,3.0,5.0,0.0,0.0
287868,1,Sri Lanka,Pakistan,15522.0,4.0,24.0,0.0,39.0,0.0,9.75,4.0,1.0,2.0,0.0,0.0
287868,2,Pakistan,Sri Lanka,19627.0,4.0,24.0,0.0,47.0,2.0,11.75,9.0,5.0,2.0,1.0,2.0
287868,2,Pakistan,Sri Lanka,48128.0,4.0,24.0,0.0,26.0,1.0,6.5,12.0,1.0,1.0,4.0,0.0
287868,2,Pakistan,Sri Lanka,19647.0,4.0,24.0,0.0,46.0,1.0,11.5,4.0,1.0,4.0,2.0,0.0
287868,2,Pakistan,Sri Lanka,4169.0,4.0,24.0,0.0,18.0,3.0,4.5,13.0,2.0,0.0,1.0,0.0
287868,2,Pakistan,Sri Lanka,44908.0,4.0,24.0,0.0,14.0,2.0,3.5,11.0,0.0,0.0,1.0,0.0
287869,1,England,New Zealand,10829.0,4.0,24.0,0.0,24.0,2.0,6.0,13.0,1.0,1.0,3.0,0.0
287869,1,England,New Zealand,48440.0,4.0,24.0,0.0,35.0,1.0,8.75,9.0,4.0,1.0,1.0,0.0
287869,1,England,New Zealand,4271.0,3.0,18.0,0.0,11.0,1.0,3.66,8.0,0.0,0.0,0.0,0.0
287869,1,England,New Zealand,6769.0,4.0,24.0,0.0,43.0,0.0,10.75,8.0,2.0,4.0,0.0,0.0
287869,1,England,New Zealand,2314.0,3.0,18.0,0.0,30.0,1.0,10.0,4.0,1.0,2.0,0.0,0.0
287869,1,England,New Zealand,7184.0,1.0,6.0,0.0,12.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0
